Rtype,RegionCode,RegionName,Duration_2005,Duration_2010,Duration_2011,Duration_2012,Duration_2013,Duration_2014,Duration_2015,Duration_2016,Duration_male_2005,Duration_male_2010,Duration_male_2011,Duration_male_2012,Duration_male_2013,Duration_male_2014,Duration_male_2015,Duration_male_2016,Duration_female_2005,Duration_female_2010,Duration_female_2011,Duration_female_2012,Duration_female_2013,Duration_female_2014,Duration_female_2015,Duration_female_2016,Morbidity_2005,Morbidity_2010,Morbidity_2011,Morbidity_2012,Morbidity_2013,Morbidity_2014,Morbidity_2015,Morbidity_2016
fregion,RU-TYU,Тюменская область,64.95,68.12,69.41,69.45,70.14,70.32,70.58,71.03,58.41,61.95,63.36,63.41,64.23,64.55,64.95,65.53,72.19,74.55,75.6,75.63,76.13,76.14,76.26,76.55,798.4,658.5,648.1,654,648.6,638,637.5,637
fregion,RU-CHE,Челябинская область,64.76,68.41,68.79,68.97,69.52,69.71,69.9,70.5,58.32,62.3,62.76,63.03,63.48,63.59,63.94,64.5,71.77,74.54,74.78,74.82,75.46,75.76,75.75,76.34,756.9,870.7,890,881.9,876.1,873.3,862.3,884.1
fregion,Siberia,Сибирский федеральный округ,62.7,67.1,67.72,67.99,68.63,68.85,69.31,69.81,56.18,61.07,61.79,62.09,62.74,62.95,63.59,64.09,70.13,73.37,73.79,74.01,74.58,74.83,75.02,75.5,782.9,818,845.3,846.1,869.1,860.9,848,850.5
fdistrict,RU-AL,Республика Алтай,60.38,65.68,65.4,66.8,67.34,67.76,68.44,70.13,54.23,59.95,59.86,60.8,61.48,61.88,62.82,64.99,67.64,71.7,71.28,73.05,73.44,73.86,74.19,75.11,900.3,860.5,919.2,885.2,908.7,890.3,894.2,890.5
fregion,RU-BU,Республика Бурятия,60.96,66.05,66.09,66.79,67.67,68.54,69.15,69.61,54.42,60.05,60.25,60.97,62.32,62.72,63.73,64.21,68.68,72.46,72.26,72.89,73.06,74.51,74.54,74.95,614.5,668.1,644.6,654.8,647.5,660,604.5,614
fregion,RU-TY,Республика Тыва,55.84,60.45,61.39,61.09,61.79,61.79,63.13,64.21,50.6,54.64,56.25,55.53,56.37,56.63,58.05,59.13,61.57,66.61,66.58,66.91,67.51,67.22,68.29,69.35,687.7,583.2,615.2,622.4,647.8,711.9,664.8,604.8
fregion,RU-KK,Республика Хакасия,61.11,67.1,67.75,67.64,68.57,68.83,68.68,69.33,54.95,61.61,62.03,61.86,62.95,63.02,63.4,63.66,68.15,72.58,73.51,73.47,74.14,74.66,73.83,74.99,812.3,802.9,820.8,834.1,870.8,909.2,835.5,859.6
fregion,RU-ALT,Алтайский край,64.62,68.36,68.97,69.11,69.77,70.01,70.44,70.74,58.26,62.69,63.29,63.49,64.11,64.33,64.97,65.12,71.73,74.17,74.72,74.79,75.44,75.72,75.84,76.34,987.2,1035.7,1052.4,1087.5,1090.3,1082.3,1096.5,1130.3
fregion,RU-ZAB,Забайкальский край,59.33,64.82,65.75,66.24,67.11,67.38,67.34,68.33,52.93,59.05,59.94,60.61,61.47,61.68,61.92,62.96,67.18,71.15,72.09,72.24,73.1,73.41,73.03,73.89,639.5,741.2,725.1,737.5,737.5,763.7,695.2,660.5
fregion,RU-KYA,Красноярский край,63.02,67.57,68.27,68.42,69.06,69.23,69.69,70.01,56.58,61.6,62.53,62.65,63.35,63.6,64.01,64.32,70.35,73.77,74.07,74.26,74.77,74.83,75.34,75.67,760.6,813.3,831.3,825.8,807.9,804.8,784.9,783.1
fregion,RU-IRK,Иркутская область,60.32,65.26,65.93,66.32,66.72,66.87,67.37,68.2,53.26,58.85,59.59,59.92,60.32,60.53,61.31,62.19,68.64,72.01,72.5,72.92,73.28,73.36,73.48,74.18,833.9,907.2,920.5,920.6,946.3,955.4,952.2,1000.6
fregion,RU-KEM,Кемеровская область,61.43,65.42,66.18,66.76,67.72,67.8,68.31,68.72,54.92,59.01,59.87,60.54,61.5,61.64,62.32,62.72,68.9,72.24,72.76,73.16,74.04,74.06,74.32,74.73,732.3,796.4,840.8,818.5,891.8,865.4,870.9,863.8
fregion,RU-NVS,Новосибирская область ,65.11,69.28,69.68,69.72,70.19,70.28,70.86,71.2,58.51,63.28,63.86,63.9,64.29,64.41,65.08,65.41,72.45,75.41,75.51,75.58,76.13,76.17,76.6,76.91,695.6,718.3,767.7,722.2,766.8,746.7,751.5,771.4
fregion,RU-OMS,Омская область,65.15,68.78,69.5,69.25,69.74,70.13,70.41,70.78,58.66,62.91,63.71,63.47,63.86,64.1,64.56,65.04,72.22,74.69,75.24,75.02,75.57,76.13,76.17,76.42,829.5,839.1,849.2,960.5,995.4,968.4,920.8,855.1
fregion,RU-TOM,Томская область,65.11,68.83,69.53,70.07,70.33,70.67,71.25,71.66,59.26,63.1,63.71,64.48,64.78,64.94,65.94,66.16,71.51,74.83,75.49,75.7,75.9,76.5,76.46,77.07,799.1,679.2,813.6,708.7,722.9,680.9,713.3,706.6
fregion,Far_Eastern,Дальневосточный федеральный округ,62.18,65.76,66.36,67,67.81,68.21,68.68,69.22,56.1,59.98,60.62,61.35,62.22,62.68,63.28,63.84,69.39,72.13,72.63,73.06,73.76,74.05,74.35,74.84,763.9,830.2,838.1,828.5,832.8,805.4,779.1,794
fdistrict,RU-SA,Республика Саха (Якутия),64.68,66.75,67.67,67.93,69.13,69.81,70.29,70.84,58.66,60.97,61.88,62.37,63.54,64.34,64.94,65.78,71.54,73.13,73.96,73.89,75,75.5,75.84,75.98,881.7,1023.4,1047.4,1066.5,1107,1098.1,1026.6,1043.8
fregion,RU-KAM,Камчатский край,63.24,65.82,66.57,67.29,67.98,68.06,68.56,68.66,57.6,60.51,61.55,62.09,62.59,62.82,63.26,63.48,70.07,71.84,72.17,72.99,74.07,73.88,74.41,74.54,857.6,861.3,897.2,840.1,828.9,821.7,814.8,776.3
fregion,RU-PRI,Приморский край,62.84,66.63,67.17,67.79,68.19,68.74,69.21,69.66,56.88,61.09,61.65,62.29,62.77,63.39,64.04,64.48,69.77,72.6,73.07,73.62,73.92,74.35,74.58,75.06,726.9,796.1,812.4,768.6,796.6,758.3,704.8,730.3
fregion,RU-KHA,Хабаровский край ,61.72,65.68,66,67.13,67.92,68.01,68.72,69.13,55.32,59.59,59.97,61.27,62.13,62.24,63.21,63.52,69.39,72.36,72.58,73.31,73.96,73.99,74.36,74.9,713.8,736.4,732,729.6,721.4,687.4,667.2,673.4
fregion,RU-AMU,Амурская область,60.22,64.36,64.82,65.12,66.38,67,67.27,68.28,53.98,58.51,58.87,59.26,60.59,61.32,61.64,62.65,67.76,70.95,71.43,71.51,72.59,73.04,73.26,74.2,658.1,777.7,794,827.5,812.5,809.8,839.2,836.2
fregion,RU-MAG,Магаданская область,62.53,65.07,65.99,66.15,67.12,67.19,68.11,69,57.08,59.8,60.18,60.82,61.84,61.62,63.17,63.56,68.88,71.09,72.64,71.85,72.77,73.25,73.42,74.47,860,808.8,758.8,773.5,780.1,742.3,704.1,671.9
