dz_label,int_geog,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,income_deprivation_rank_2004,income_deprivation_rank_2006,income_deprivation_rank_2009,income_deprivation_rank_2012,employment_deprivation_rank_2004,employment_deprivation_rank_2006,employment_deprivation_rank_2009,employment_deprivation_rank_2012,health_deprivation_rank_2004,health_deprivation_rank_2006,health_deprivation_rank_2009,health_deprivation_rank_2012,education_deprivation_rank_2004,education_deprivation_rank_2006,education_deprivation_rank_2009,education_deprivation_rank_2012,housing_deprivation_rank_2004,housing_deprivation_rank_2006,housing_deprivation_rank_2009,housing_deprivation_rank_2012,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012
S01003650,Maryhill West,195,260,261,252,605,296,285,525,97,213,178,130,90,295,633,765,344,467,410,222,112,112,112,112,930,732,692
S01003651,Knightswood Park East,815,1028,958,1224,1104,1298,963,1018,463,760,556,1002,687,1400,982,1546,2182,1132,2014,1631,783,783,783,783,898,3350,2377
S01003652,Maryhill East,474,714,689,792,463,847,478,601,715,574,821,982,386,436,606,891,408,1083,1301,840,343,343,343,343,3431,1906,1705
S01003653,Milton West,75,50,61,50,136,99,90,129,137,50,81,132,207,56,67,45,34,115,123,131,18,18,18,18,746,1229,109
S01003654,Yoker North,240,333,391,540,218,241,271,612,500,586,619,572,199,415,577,237,197,160,161,674,336,336,336,336,3045,3227,3281
S01003655,Balornock,312,309,431,539,337,376,469,652,676,424,468,743,358,204,368,547,86,244,352,215,537,537,537,537,1244,1897,1993
S01003656,Maryhill East,338,471,636,659,357,620,724,739,391,689,653,1124,542,332,730,573,244,285,578,374,936,936,936,936,2177,2471,1202
S01003657,Milton East,154,341,486,446,421,383,451,484,196,545,677,603,56,358,521,433,179,178,393,449,30,30,30,30,1300,2119,2531
S01003658,Knightswood West,1958,2819,2962,2960,1912,3023,2378,2949,2005,2368,2542,2455,1721,2356,3040,2538,1393,2853,3235,2983,2088,2088,2088,2088,3741,3949,2629
S01003659,Anniesland West,2556,3475,3617,3711,2935,3364,2855,3247,3038,3273,3258,3117,2539,3159,3721,3676,1305,2371,3249,3871,344,344,344,344,4185,5425,3451
S01003660,Robroyston and Millerston,5117,5595,5613,5557,5639,5431,5194,5556,5748,6351,5717,5535,6109,6388,6144,6093,3446,3503,4315,4015,5599,5599,5599,5599,5969,6409,6075
S01003661,Anniesland East,4001,4603,4675,5076,4674,4967,5116,5431,3541,4646,4510,4338,4100,4379,4545,5149,3655,4006,3420,4884,2286,2286,2286,2286,4817,4297,3618
S01003662,Knightswood Park West,383,902,697,1032,569,1043,728,1139,160,724,363,704,180,810,1194,1160,2183,1528,1841,1803,978,978,978,978,1077,811,1390
S01003663,Maryhill West,239,169,218,190,334,149,363,289,260,200,189,67,441,401,318,364,141,210,327,978,359,359,359,359,474,166,334
